kraken_taxid	species_name	assembly_accession	ncbi_taxid
45315	2-12-FULL-45-22 sp001803565	GCA_001803565.1	1801687
45316	JACOWJ01 sp016176845	GCA_016176845.1	2026769
45317	4484-113 sp002050035	GCA_002050035.1	1956161
45318	JAGGTK01 sp021163765	GCA_021163765.1	1869227
45319	JAGGTK01 sp029932365	GCA_029932365.1	1869227
45320	JAGGTK01 sp030606285	GCA_030606285.1	2053591
45321	JBBIJQ01 sp037445915	GCA_037445915.1	2053591
45322	JBBIRS01 sp037441675	GCA_037441675.1	2053591
45323	JADZFO01 sp020849855	GCA_020849855.1	1869227
45324	JAFGCY01 sp016932385	GCA_016932385.1	1869227
45325	JAHEFU01 sp020440605	GCA_020440605.1	1869227
45326	JAHEFU01 sp020440645	GCA_020440645.1	1869227
45327	JAHEFU01 sp022646745	GCA_022646745.1	2053591
45328	JAHEFU01 sp024645305	GCA_024645305.1	2053591
45329	JAHEFU01 sp041395205	GCA_041395205.1	1869227
45330	JABRWB01 sp039961635	GCA_039961635.1	1869227
45331	JAGGVC01 sp021158185	GCA_021158185.1	1869227
45332	JALSIF01 sp026981635	GCA_026981635.1	1869227
45333	4572-55 sp002084765	GCA_002084765.1	1971726
45334	J002 sp003697105	GCA_003697105.1	2026742
45335	ARS69 sp002686915	GCA_030747075.1	2026742
45336	BQJX01 sp021604925	GCA_021604925.1	2026742
45337	JAGQIB01 sp020431545	GCA_020431545.1	2026742
45338	JAGQIB01 sp041393395	GCA_041393395.1	1869227
45339	JALGZO01 sp025774865	GCA_025774865.1	1869227
45340	JALGZR01 sp025774805	GCA_025774805.1	1869227
45341	AUK180 sp021162505	GCA_021162505.1	1869227
45342	CALMGJ01 sp937863565	GCA_937863565.1	77133
45343	JAGLWT01 sp023133295	GCA_023133295.1	1869227
45344	JAGLWT01 sp023144005	GCA_023144005.1	1869227
45345	JAUXGM01 sp030622125	GCA_030622125.1	1869227
45346	DAOVMD01 sp030630935	GCA_030630935.1	2813022
45347	JAQVHJ01 sp028696285	GCA_028696285.1	1869227
45348	JACRIR01 sp016215705	GCA_016215705.1	2026781
45349	SURF-17 sp003598055	GCA_003598055.1	2093361
45350	SURF-5 sp003598085	GCA_003598085.1	2093360
45351	Aminicenans sakinawicola	GCA_000493965.1	1383028
45352	DAOVDI01 sp030669585	GCA_030669585.1	1978231
45353	DAOVDU01 sp030669305	GCA_030669305.1	2052149
45354	G020344415 sp020344415	GCA_020344415.1	2052149
45355	G020348385 sp020348385	GCA_020348385.1	2052149
45356	G020348385 sp030633795	GCA_030633795.1	2052149
45357	G020348385 sp030670375	GCA_030670375.1	2052149
45358	JADHWO01 sp016783445	GCA_016783445.1	2052149
45359	JAGLWV01 sp023133225	GCA_023133225.1	2052149
45360	JAGLWV01 sp030673995	GCA_030673995.1	2052149
45361	JAGXKI01 sp018335295	GCA_018335295.1	1869227
45362	JAHIPL01 sp018894615	GCA_018894615.1	1978231
45363	JAUVXM01 sp030603565	GCA_030603565.1	2052149
45364	JAUVXM01 sp030612445	GCA_030612445.1	2052149
45365	JAUVXM01 sp030614645	GCA_030614645.1	2052149
45366	JAUWSR01 sp030609975	GCA_030609975.1	1978231
45370	JAUWVG01 sp030617525	GCA_030617525.1	2052149
45371	JAUWVG01 sp036446295	GCA_036446295.1	3104267
45372	JAUWYH01 sp030615975	GCA_030615975.1	2052149
45373	Kmv29 sp014859315	GCA_014859315.1	2052149
45374	Kmv29 sp030627155	GCA_030627155.1	2052149
45375	SOIA01 sp004378665	GCA_004378665.1	2052149
45376	SOIA01 sp029882525	GCA_029882525.1	2052149
45377	SOIA01 sp030671065	GCA_030671065.1	2052149
45378	SOIV01 sp004377005	GCA_004377005.1	2052149
45379	SOIV01 sp011049545	GCA_011049545.1	2052149
45380	SOIV01 sp011772475	GCA_011772475.1	2052149
45381	SOIV01 sp011773465	GCA_011773465.1	2052149
45382	SOIV01 sp030607635	GCA_030607635.1	2052149
45383	WJMT01 sp014727835	GCA_014727835.1	2052149
45384	WJMT01 sp021162615	GCA_021162615.1	2052149
45385	WJMT01 sp035655135	GCA_035655135.1	1978231
45386	WJMT01 sp041686095	GCA_041686095.1	2052149
45387	WTAW01 sp013139435	GCA_013139435.1	2052149
45388	WTAW01 sp023135995	GCA_023135995.1	2052149
45389	WVZL01 sp011772495	GCA_011772495.1	2052149
45390	WVZL01 sp041862375	GCA_041862375.1	3104267
45391	CALLJL01 sp026416195	GCA_026416195.1	2052149
45392	CALLJL01 sp037441905	GCA_037441905.1	2052149
45393	CALLJL01 sp938092135	GCA_938092135.1	77133
45394	JAFGAV01 sp016867615	GCA_016867615.1	2052149
45395	JAFGAV01 sp016933515	GCA_016933515.1	2052149
45397	JAFGBC01 sp016933355	GCA_016933355.1	2052149
45398	JAFGBC01 sp022867325	GCA_022867325.1	2052149
45399	JAFGMO01 sp016927475	GCA_016927475.1	2052149
45400	JdFR-80 sp002010725	GCA_002010725.1	1935110
45401	JdFR-80 sp003648765	GCA_003648765.1	2052149
45402	JdFR-80 sp011042725	GCA_011042725.1	2052149
45403	DATKJS01 sp035543515	GCA_035543515.1	2282142
45404	DATKJS01 sp037441295	GCA_037441295.1	2052149
45405	JALHVH01 sp022867105	GCA_022867105.1	2052149
45406	JAWSUF01 sp033549365	GCA_033549365.1	1978231
45407	RBG-16-66-30 sp001773855	GCA_001773855.1	1797271
45408	RBG-16-66-30 sp001775715	GCA_001775715.1	1797274
45409	RBG-16-66-30 sp001775755	GCA_001775755.1	1797277
45410	RBG-16-66-30 sp011048485	GCA_011048485.1	2052149
45411	RBG-16-66-30 sp012516875	GCA_017999365.1	2052149
45412	RBG-16-66-30 sp014894455	GCA_014894455.1	1978231
45413	RBG-16-66-30 sp016867635	GCA_016867635.1	2052149
45414	RBG-16-66-30 sp017883305	GCA_017883305.1	2052149
45415	RBG-16-66-30 sp022711665	GCA_022711665.1	1978231
45416	RBG-16-66-30 sp026393955	GCA_026393955.1	2052149
45417	RBG-16-66-30 sp026393975	GCA_026393975.1	2052149
45418	RBG-16-66-30 sp029569255	GCA_029569255.1	1978231
45419	RBG-16-66-30 sp034679465	GCA_034679465.1	2052149
45420	RBG-16-66-30 sp037447475	GCA_037447475.1	2052149
45421	RBG-16-66-30 sp039683095	GCA_039683095.1	1978231
45422	RBG-16-66-30 sp041303965	GCA_041303965.1	2052149
45423	RBG-16-66-30 sp041304225	GCA_041304225.1	2052149
45424	RBG-16-66-30 sp041320535	GCA_041320535.1	2052149
45425	RBG-16-66-30 sp041479905	GCA_041479905.1	3097466
45426	RBG-16-66-30 sp041736225	GCA_041736225.1	3090891
45427	Saccharicenans sp002316315	GCA_002316315.1	1953190
45428	Saccharicenans sp002441005	GCA_002441005.1	1953197
45429	Saccharicenans sp002877915	GCA_002877915.1	2052149
45430	Saccharicenans sp003476685	GCA_003476685.1	1978231
45431	Saccharicenans sp013178315	GCA_013178315.1	2052149
45432	Saccharicenans sp014359965	GCA_014359965.1	2052149
45433	Saccharicenans sp014360005	GCA_014360005.1	2052149
45434	Saccharicenans sp014360015	GCA_014360015.1	2052149
45435	Saccharicenans sp017992175	GCA_017992175.1	2819258
45436	Saccharicenans sp024653215	GCA_024653215.1	2819258
45437	Saccharicenans sp024653405	GCA_029907135.1	2819258
45438	Saccharicenans sp026414545	GCA_026414545.1	2819258
45439	Saccharicenans sp028749115	GCA_028749115.1	1978231
45440	Saccharicenans sp028749205	GCA_028749205.1	1978231
45441	Saccharicenans sp029553365	GCA_029553365.1	1978231
45442	Saccharicenans sp029571905	GCA_029571905.1	1978231
45443	Saccharicenans sp030017715	GCA_030017715.1	2819258
45444	Saccharicenans sp030018265	GCA_030018265.1	2819258
45445	Saccharicenans sp035416665	GCA_035416665.1	2819258
45446	Saccharicenans sp037441785	GCA_037441785.1	2052149
45447	Saccharicenans sp937920515	GCA_937920515.1	77133
45448	Saccharicenans subterraneus	GCA_003426165.1	2508984
45449	FEN-413 sp003141555	GCA_003141555.1	2052149
45450	FEN-413 sp017883285	GCA_017883285.1	2052149
45451	JAAZPG01 sp012797375	GCA_937868205.1	77133
45452	JAAZPG01 sp016867585	GCA_016867585.1	2052149
45453	JAAZPG01 sp016931595	GCA_016931595.1	2052149
45454	JAAZPG01 sp026393895	GCA_026393895.1	2052149
45455	JALHTW01 sp022866045	GCA_022866045.1	2052149
45458	JAPKZH01 sp026393905	GCA_026393905.1	2052149
45459	JBGOYP01 sp041479785	GCA_041479785.1	3097466
45460	UBA4085 sp002383325	GCA_002383325.1	1953194
45461	UBA4085 sp003154255	GCA_003154255.1	2052149
45462	UBA4085 sp026393855	GCA_026393855.1	2052149
45463	UBA4085 sp028749235	GCA_028749235.1	1978231
45464	JARYMI01 sp029907205	GCA_029907205.1	1898207
45465	JARYMI01 sp037444845	GCA_037444845.1	2052149
45466	UBA8522 sp003524335	GCA_003524335.1	2052149
45467	UBA8522 sp016934895	GCA_016934895.1	2052149
45468	UBA8522 sp017886205	GCA_017886205.1	2052149
45469	UBA8522 sp035528895	GCA_035528895.1	3060595
45470	UBA8522 sp036769375	GCA_036769375.1	2052149
45471	JALXDT01 sp027031485	GCA_027031485.1	2052149
45472	JALXDT01 sp027067555	GCA_027067555.1	2052149
45473	JALXDT01 sp027070475	GCA_027070475.1	2052149
45474	JAMOAD01 sp023621955	GCA_035403085.1	2052149
45475	JAMOUT01 sp027061995	GCA_027061995.1	2052149
45476	JBBIMS01 sp037444285	GCA_037444285.1	2052149
45477	JBFLYD01 sp040756905	GCA_040756905.1	1978231
45478	JdFR-78 sp002010665	GCA_002010665.1	1935108
45479	JALSNJ01 sp026987025	GCA_026987025.1	2052149
45480	JALSNJ01 sp026991555	GCA_026991555.1	2052149
45481	JALSNJ01 sp027025175	GCA_027025175.1	2052149
45482	JALSNJ01 sp027068075	GCA_027068075.1	2052149
45483	S016-38 sp015486055	GCA_015486055.1	1978231
45484	S016-38 sp021161165	GCA_021161165.1	2052149
45485	S016-38 sp027062035	GCA_027062035.1	2052149
45486	JAGLQA01 sp023135565	GCA_030639305.1	2052149
45487	JAGLQA01 sp023137075	GCA_023137075.1	2052149
45488	JAHELQ01 sp024644125	GCA_024644125.1	2052149
45489	JAKAGC01 sp011772425	GCA_011772425.1	2052149
45490	JAKAGC01 sp021817755	GCA_021817755.1	1978231
45491	JAKAGC01 sp026393835	GCA_026393835.1	2052149
45492	JAKAGC01 sp030837085	GCA_030837085.1	1978231
45493	JAKAGC01 sp035299165	GCA_035299165.1	3060586
45494	JAOZTV01 sp029939015	GCA_029939015.1	2052149
45495	JAUWNT01 sp030610885	GCA_030610885.1	2052149
45496	JAUWNT01 sp030612495	GCA_030612495.1	2052149
45497	JAUWNT01 sp030620255	GCA_030620255.1	2052149
45500	UBA2199 sp002327965	GCA_002327965.1	1953193
45501	UBA2199 sp002335385	GCA_002335385.1	1953191
45502	UBA2199 sp002436105	GCA_002436105.1	1953196
45503	UBA2199 sp004525465	GCA_004525465.1	2528039
45504	UBA2199 sp016934475	GCA_016934475.1	2052149
45505	UBA2199 sp016934745	GCA_016934745.1	2052149
45506	UBA2199 sp018262835	GCA_018262835.1	2052149
45507	UBA2199 sp018897435	GCA_018897435.1	1978231
45508	UBA2199 sp022711715	GCA_022711715.1	1978231
45509	UBA2199 sp022865785	GCA_022865785.1	2052149
45510	UBA2199 sp025456175	GCA_025456175.1	1978231
45511	UBA2199 sp025456205	GCA_025456205.1	1978231
45512	UBA2199 sp026393775	GCA_026393775.1	2052149
45513	UBA2199 sp026393795	GCA_026393795.1	2052149
45514	UBA2199 sp027318645	GCA_027318645.1	2052149
45515	UBA2199 sp028749105	GCA_028749105.1	1978231
45516	UBA2199 sp035528155	GCA_035528155.1	2052139
45517	UBA2199 sp037133155	GCA_037133155.1	2528039
45518	UBA2199 sp041738575	GCA_041738575.1	3097466
45519	UBA647 sp002299555	GCA_002299555.1	1953198
45520	UBA647 sp023136725	GCA_023136725.1	2052149
45521	UBA647 sp029938635	GCA_029938635.1	2052149
45522	UBA647 sp039714255	GCA_039714255.1	1978231
45523	UBA876 sp002294665	GCA_002294665.1	1953199
45524	UBA876 sp011049425	GCA_011049425.1	2052149
45525	UBA876 sp016926835	GCA_016926835.1	2052149
45526	DATKUA01 sp035530855	GCA_035530855.1	1978231
45528	Guanabaribacterium sp005223145	GCA_005223145.1	2012999
45529	Guanabaribacterium sp029880275	GCA_029880275.1	2052149
45530	JAGGZT01 sp021161905	GCA_021161905.1	1978231
45531	JAFGBY01 sp016932915	GCA_016932915.1	1978231
45532	JAQAZP01 sp032127265	GCA_032127265.1	1978231
45533	Chloracidobacterium aggregatum	GCF_018304765.1	2821540
45534	Chloracidobacterium sp002254845	GCA_002254845.1	2012633
45535	Chloracidobacterium sp025057975	GCA_025057975.1	2099375
45536	Chloracidobacterium sp937934745	GCA_937934745.1	2496907
45537	Chloracidobacterium sp937966115	GCA_937966115.1	1191519
45538	Chloracidobacterium thermophilum	GCF_000226295.1	981222
45539	Chloracidobacterium validum	GCF_018304825.1	2821543
45540	JAAFHI01 sp013298335	GCA_013298335.1	2900548
45541	JAAFHI01 sp039793685	GCA_039793685.1	3132710
45542	JACQXX01 sp016208495	GCA_016208495.1	1978231
45543	JACQXX01 sp035335845	GCA_035335845.1	1978231
45544	JAIBAN01 sp019695185	GCA_019695185.1	2052146
45545	JADJPF01 sp016213785	GCA_016213785.1	1978231
45546	JADJPF01 sp016713405	GCA_016713405.1	2052146
45547	JADJPF01 sp023265235	GCA_023265235.1	2052146
45548	JADJPF01 sp039812885	GCA_039812885.1	2052146
45549	JAEUQL01 sp016789295	GCA_016789295.1	2052146
45550	JANWYG01 sp025057015	GCA_025057015.1	2052146
45551	JBFLVQ01 sp040758525	GCA_040758525.1	1978231
45552	DASRDY01 sp035652355	GCA_035652355.1	2052146
45553	DATLZR01 sp035573895	GCA_035573895.1	2052146
45554	HR10 sp002898775	GCA_002898775.1	2035403
45555	HR10 sp002923315	GCA_002923315.1	2035405
45556	HR10 sp025055075	GCA_025055075.1	2052146
45557	HR10 sp030550025	GCA_030550025.1	1978231
45558	HR10 sp041640655	GCA_041640655.1	1869227
45559	HR10 sp937934295	GCA_937934295.1	2496907
45560	J050 sp003696865	GCA_003696865.1	1978231
45561	J050 sp026985075	GCA_026985075.1	2052146
45562	JANWZE01 sp025054955	GCA_025054955.1	2052146
45563	JACQTD01 sp016210985	GCA_016210985.1	1978231
45564	3-1-20CM-3-53-8 sp001920415	GCA_001920415.1	1803431
45565	3-1-20CM-3-53-8 sp035316225	GCA_035316225.1	2283092
45566	Aridibacter famidurans	GCA_024103495.1	1384638
45567	Aridibacter sp003385635	GCA_003385635.1	1978231
45568	Aridibacter sp013003215	GCA_013003215.1	2283092
45569	Aridibacter sp013003295	GCA_013003295.1	2283092
45570	Aridibacter sp016700175	GCA_016700175.1	1978231
45571	Aridibacter sp024640445	GCA_024640445.1	1978231
45572	Aridibacter sp028284415	GCA_028284415.1	2283092
45573	Aridibacter sp029862725	GCA_029862725.1	1978231
45574	Aridibacter sp030859345	GCA_030859345.1	1978231
45575	Aridibacter sp035513035	GCA_035513035.1	1872637
45576	Aridibacter sp037969475	GCA_037969475.1	2283092
45577	Aridibacter sp041394785	GCA_041394785.1	2283092
45578	Aridibacter sp041394795	GCA_041394795.1	2283092
45579	Aridibacter sp041576495	GCA_041576495.1	1872637
45580	Aridibacter sp041744535	GCA_041744535.1	2283092
45581	Aridibacter sp041746235	GCA_041746235.1	2283092
45582	Aridibacter sp041746475	GCA_041746475.1	2283092
45583	Aridibacter sp041746675	GCA_041746675.1	2283092
45584	Aridibacter sp041747875	GCA_041747875.1	2283092
45585	CALMEH01 sp031409875	GCA_031409875.1	1978231
45586	CALMEH01 sp937863115	GCA_937863115.1	171953
45587	CAXRBW01 sp964228775	GCA_964228775.1	2283092
45588	DAITAB01 sp036824525	GCA_036824525.1	2283092
45589	DASQDT01 sp035634035	GCA_035634035.1	2283092
45590	DASQDT01 sp036277175	GCA_036277175.1	2283092
45591	DASQDT01 sp036380435	GCA_036380435.1	2283092
45592	DASQYE01 sp035537255	GCA_035537255.1	2283092
45593	DASQYE01 sp035639355	GCA_035639355.1	2283092
45594	DASQYE01 sp035940775	GCA_035940775.1	2283092
45595	DASQYE01 sp036389095	GCA_036389095.1	2283092
45596	DASQYE01 sp036389315	GCA_036389315.1	2283092
45597	DASQYE01 sp036389675	GCA_036389675.1	2283092
45598	DASQYE01 sp036522655	GCA_036522655.1	2283092
45599	DASVTR01 sp033855775	GCA_033855775.1	2052146
45600	DASVTR01 sp036382855	GCA_036382855.1	2283092
45601	DASVTR01 sp036387475	GCA_036387475.1	2283092
45602	DASVTU01 sp036387415	GCA_036387415.1	2283092
45603	DASVVT01 sp036386415	GCA_036386415.1	2283092
45604	DASVWH01 sp036389715	GCA_036389715.1	2283092
45605	DASWNP01 sp035537095	GCA_035537095.1	2283092
45606	DASWNP01 sp036399175	GCA_036399175.1	2283092
45607	DASXRU01 sp033856235	GCA_033856235.1	2052146
45608	DASXRU01 sp034665305	GCA_034665305.1	2052146
45609	DASXRU01 sp036506395	GCA_036506395.1	2283092
45610	DASXRU01 sp039933315	GCA_039933315.1	2283092
45611	DASXRU01 sp040003545	GCA_040003545.1	2283092
45612	DASYKT01 sp035995185	GCA_035995185.1	2283092
45613	DASYML01 sp034665545	GCA_034665545.1	2052146
45614	DASYML01 sp036009045	GCA_036009045.1	2283092
45615	DASYML01 sp036399835	GCA_036399835.1	2283092
45616	DASZCR01 sp035942915	GCA_035942915.1	2283092
45617	DATHTS01 sp035462935	GCA_035462935.1	2283092
45618	GCA-002050365 sp002050355	GCA_002050355.1	1962176
45619	GCA-002050365 sp002050365	GCA_002050365.1	1962177
45620	GCA-002050365 sp002050455	GCA_002050455.1	1962178
45621	GCA-002050365 sp013696385	GCA_013696385.1	1978231
45622	GCA-002050365 sp013813755	GCA_013813755.1	1978231
45623	GCA-002050365 sp020200095	GCA_020200095.1	1978231
45624	GCA-002050365 sp026785925	GCA_026785925.1	2283092
45625	GCA-002050365 sp026786155	GCA_026786155.1	2283092
45626	GCA-002050365 sp030448055	GCA_030448055.1	2283092
45627	GCA-002050365 sp030857305	GCA_030857305.1	1978231
45628	GCA-002050365 sp030857325	GCA_030857325.1	1978231
45629	GCA-002050365 sp030948995	GCA_030948995.1	1978231
45630	GCA-002050365 sp031359215	GCA_031359215.1	1978231
45631	GCA-002050365 sp031418635	GCA_031418635.1	1978231
45632	GCA-002050365 sp035575965	GCA_035575965.1	2283092
45633	GCA-002050365 sp038200355	GCA_038200355.1	3121915
45634	GCA-002050365 sp038200505	GCA_038200505.1	3121915
45635	GCA-002050365 sp038232235	GCA_038232235.1	3121915
45636	GCA-002050365 sp038235165	GCA_038235165.1	3121915
45637	GCA-002050365 sp039931085	GCA_039931085.1	1978231
45638	GCA-002050365 sp902805935	GCA_902805935.1	2283094
45639	J014 sp003697135	GCA_003697135.1	1978231
45640	J014 sp025054715	GCA_025054715.1	2283092
45641	JACCRA01 sp013813825	GCA_013813825.1	2283092
45642	JACCRA01 sp030859285	GCA_030859285.1	1978231
45643	JACCTF01 sp013812565	GCA_013812565.1	2283092
45644	JACCYN01 sp013695245	GCA_013695245.1	2283092
45645	JACCYN01 sp013696465	GCA_013696465.1	2283092
45646	JACDEG01 sp013816505	GCA_013816505.1	2283092
45647	JACDEG01 sp030859785	GCA_030859785.1	1978231
45648	JACMLC01 sp014379795	GCA_014379795.1	2283092
45649	JACMLC01 sp019247865	GCA_019247865.1	1978231
45650	JACMLC01 sp036403295	GCA_036403295.1	2283092
45651	JACVRN01 sp014534425	GCA_014534425.1	2283092
45652	JACVRN01 sp035276685	GCA_035276685.1	2283092
45653	JACVRN01 sp036389255	GCA_036389255.1	2283092
45654	JACVRN01 sp036389875	GCA_036389875.1	2283092
45655	JACVRN01 sp036403815	GCA_036403815.1	2283092
45656	JAFDVJ01 sp016715115	GCA_016715115.1	1978231
45657	JAFDVJ01 sp018269075	GCA_018269075.1	1978231
45658	JAFDVJ01 sp022843305	GCA_022843305.1	2283092
45659	JAFDVJ01 sp029557535	GCA_029557535.1	1978231
45660	JAFDVJ01 sp031362765	GCA_031362765.1	1978231
45661	JAFDVJ01 sp031411895	GCA_031411895.1	1978231
45662	JAFDVJ01 sp031412675	GCA_031412675.1	1978231
45663	JAFDVJ01 sp031431735	GCA_031431735.1	1978231
45664	JAFDVJ01 sp035536135	GCA_035536135.1	2283092
45665	JAFDVJ01 sp036403375	GCA_036403375.1	2283092
45666	JAFDVJ01 sp036563455	GCA_036563455.1	2283092
45667	JAFDVJ01 sp038330465	GCA_038330465.1	3121915
45668	JAFDVJ01 sp040005005	GCA_040005005.1	2900548
45669	JAFDVJ01 sp041752475	GCA_041752475.1	2283092
45670	JAFDVJ01 sp902826505	GCA_902826505.1	171953
45671	JAHCHG01 sp026129865	GCA_026129865.1	2283092
45672	JAHCHG01 sp038246645	GCA_038246645.1	3121915
45673	JAHCHG01 sp038251885	GCA_038251885.1	3121915
45674	JAHCHG01 sp041394845	GCA_041394845.1	2283092
45675	JAHCHG01 sp041745765	GCA_041745765.1	2283092
45676	JAIBCC01 sp019694395	GCA_019694395.1	2283092
45677	JAIBCC01 sp031413075	GCA_031413075.1	1978231
45678	JAIBCC01 sp035438525	GCA_035438525.1	2283092
45679	JAIVGV01 sp020200235	GCA_020200235.1	1978231
45680	JAIVGV01 sp020201365	GCA_020201365.1	1978231
45681	JAIVGV01 sp031425275	GCA_031425275.1	1978231
45682	JAIVGV01 sp032229975	GCA_032229975.1	1978231
45683	JAIVGV01 sp032230165	GCA_032230165.1	1978231
45684	JAIVGV01 sp035295985	GCA_035295985.1	2283092
45685	JAIVGV01 sp035537435	GCA_035537435.1	2283092
45686	JAIVGV01 sp036389335	GCA_036389335.1	2283092
45687	JAIVGV01 sp036567125	GCA_036567125.1	2283092
45688	JAIVJG01 sp020200155	GCA_020200155.1	1978231
45689	JAIVJM01 sp020199995	GCA_020199995.1	1978231
45690	JAIVJM01 sp035761505	GCA_035761505.1	2283092
45691	JAIVJZ01 sp020199775	GCA_020199775.1	1978231
45692	JAIVJZ01 sp030838445	GCA_030838445.1	2283092
45693	JAIVJZ01 sp030841105	GCA_030841105.1	2283092
45694	JAIVJZ01 sp035249365	GCA_035249365.1	2283092
45695	JAIVJZ01 sp035296385	GCA_035296385.1	2283092
45696	JAIVJZ01 sp035296445	GCA_035296445.1	2283092
45697	JAIVJZ01 sp035628755	GCA_035628755.1	2283092
45698	JAIVJZ01 sp035633995	GCA_035633995.1	2283092
45699	JAIVJZ01 sp035644995	GCA_035644995.1	2283092
45700	JAIVJZ01 sp035645695	GCA_035645695.1	2283092
45701	JAIVJZ01 sp035645855	GCA_035645855.1	2283092
45702	JAIVJZ01 sp035940695	GCA_035940695.1	2283092
45703	JAIVJZ01 sp035942855	GCA_035942855.1	2283092
45704	JAIVJZ01 sp036009085	GCA_036009085.1	2283092
45705	JAIVJZ01 sp036386515	GCA_036386515.1	2283092
45706	JAIVJZ01 sp036387235	GCA_036387235.1	2283092
45707	JAIVJZ01 sp036389555	GCA_036389555.1	2283092
45708	JAIVJZ01 sp036399115	GCA_036399115.1	2283092
45709	JAIVJZ01 sp036566625	GCA_036566625.1	2283092
45710	JAJQRF01 sp021228405	GCA_021228405.1	2283092
45711	JAJQRF01 sp036833775	GCA_036833775.1	2283092
45712	JALZCH01 sp030863175	GCA_030863175.1	1978231
45713	JALZCH01 sp036387135	GCA_036387135.1	2283092
45714	JALZCH01 sp036387315	GCA_036387315.1	2283092
45715	JALZCH01 sp036388775	GCA_036388775.1	2283092
45716	JALZCH01 sp036388995	GCA_036388995.1	2283092
45717	JALZCH01 sp036400075	GCA_036400075.1	2283092
45718	JALZHR01 sp030860665	GCA_030860665.1	1978231
45719	JALZHR01 sp035296345	GCA_035296345.1	2283092
45720	JALZHR01 sp036388475	GCA_036388475.1	2283092
45721	JALZHR01 sp036388635	GCA_036388635.1	2283092
45722	JALZHR01 sp036389695	GCA_036389695.1	2283092
45723	JANDLT01 sp024330265	GCA_024330265.1	2928749
45724	JANDLT01 sp041743485	GCA_041743485.1	2283092
45725	JANNVK01 sp031414415	GCA_031414415.1	1978231
45726	JANNVK01 sp031415455	GCA_031415455.1	1978231
45727	JANNVK01 sp031430435	GCA_031430435.1	1978231
45728	JANOGZ01 sp031406255	GCA_031406255.1	2283092
45729	JAOAPY01 sp025463135	GCA_025463135.1	1978231
45730	JAOAPY01 sp035572035	GCA_035572035.1	2283092
45731	JAOAPY01 sp036726305	GCA_036726305.1	2283092
45732	JAOAPY01 sp038237475	GCA_038237475.1	3121915
45733	JAOAPY01 sp041492185	GCA_041492185.1	2283092
45734	JAOAPY01 sp041499185	GCA_041499185.1	2283092
45735	JBBJMB01 sp037719755	GCA_037719755.1	2283092
45736	JBBQUS01 sp038212235	GCA_038212235.1	3121915
45737	JBBQUS01 sp040005335	GCA_040005335.1	2283092
45738	JBDSEC01 sp039920205	GCA_039920205.1	2283092
45739	JBGTBQ01 sp041749275	GCA_041749275.1	2283092
45740	JBGTFE01 sp036403235	GCA_036403235.1	2283092
45741	JBGTFE01 sp041747435	GCA_041747435.1	2283092
45742	JBGTHJ01 sp041746175	GCA_041746175.1	2283092
45743	OLB17 sp001464455	GCA_001464455.1	1752184
45744	OLB17 sp001464665	GCA_001464665.1	1752182
45745	OLB17 sp001567505	GCA_001567505.1	1617423
45746	OLB17 sp002333435	GCA_016716305.1	2099375
45747	OLB17 sp002360555	GCA_002360555.1	1946317
45748	OLB17 sp002483395	GCA_002483395.1	1946322
45749	OLB17 sp003223025	GCA_003223025.1	1978231
45750	OLB17 sp003223975	GCA_003223975.1	1978231
45751	OLB17 sp003577445	GCA_019186825.1	2283092
45752	OLB17 sp013140875	GCA_013140875.1	1978231
45753	OLB17 sp013695195	GCA_013695195.1	2052146
45754	OLB17 sp013695495	GCA_013695495.1	2052146
45755	OLB17 sp014379075	GCA_014379075.1	2283092
45756	OLB17 sp015075585	GCA_015075585.1	2099375
45757	OLB17 sp016700075	GCA_016700075.1	1978231
45758	OLB17 sp016703965	GCA_016703965.1	1978231
45759	OLB17 sp016706275	GCA_016706275.1	2099375
45760	OLB17 sp016711345	GCA_016711345.1	2099375
45761	OLB17 sp016712045	GCA_016712045.1	2099375
45762	OLB17 sp016713675	GCA_016713675.1	1978231
45763	OLB17 sp016715795	GCA_016715795.1	2099375
45764	OLB17 sp016716365	GCA_016716365.1	2099375
45765	OLB17 sp016716435	GCA_016716435.1	1978231
45766	OLB17 sp016718135	GCA_016718135.1	1978231
45767	OLB17 sp016720705	GCA_016720705.1	2099375
45768	OLB17 sp016789145	GCA_016789145.1	2052146
45769	OLB17 sp016789265	GCA_016789265.1	2052146
45770	OLB17 sp017983495	GCA_017983495.1	2283092
45771	OLB17 sp018060305	GCA_018060305.1	2283092
45772	OLB17 sp018269005	GCA_018269005.1	1978231
45773	OLB17 sp019247455	GCA_019247455.1	1978231
45774	OLB17 sp019639115	GCA_019639115.1	1978231
45775	OLB17 sp019639135	GCA_019639135.1	1978231
45776	OLB17 sp019639155	GCA_019639155.1	1978231
45777	OLB17 sp019639175	GCA_019639175.1	1978231
45778	OLB17 sp019639195	GCA_019639195.1	1978231
45779	OLB17 sp019639215	GCA_019639215.1	1978231
45780	OLB17 sp019639235	GCA_019639235.1	1978231
45781	OLB17 sp019694345	GCA_019694345.1	2283092
45782	OLB17 sp019694355	GCA_019694355.1	2283092
45783	OLB17 sp020846885	GCA_020846885.1	1978231
45784	OLB17 sp021155145	GCA_021155145.1	2608729
45785	OLB17 sp021463165	GCA_021463165.1	2283092
45786	OLB17 sp023389035	GCA_023389035.1	1978231
